sample_id,collected_at,posting_date,collection_method,robots_terms_checked,source_log_id,search_keyword,platform,company,industry,job_title,normalized_role,experience_level,min_experience_years,education_level,employment_type,required_skills,skill_tags,domain_requirement,compensation,location,url,raw_file,manual_reviewed,notes,review_decision,review_reason,review_flags,dedupe_key,recommended_sample_id
,2026-05-12,2025-06-09,auto,yes,LOG-208,technical_role=engineer;data ai_evidence=llm;머신러닝 locations=Seoul;Korea,ashby,TwelveLabs,,Senior ML Data Engineer,ml_engineer,,,,FullTime,,python;llm;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/9093911f-5479-45c2-b839-be5689cccc8b,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=9093911f-5479-45c2-b839-be5689cccc8b; public_ats_api; requires_manual_review,include,technical_role_with_ai_evidence:ai;ml;llm;python;머신러닝,technical_ai_role,"twelvelabs|senior ml data engineer|seoul, south korea",JOB-018
,2026-05-12,2025-12-15,auto,yes,LOG-208,technical_role=engineer;research ai_evidence=model training;llm;rag;retrieval;pytorch locations=Seoul;Korea,ashby,TwelveLabs,,"Staff ML Research Engineer, Marengo",ai_researcher,,,,FullTime,,python;pytorch;llm;rag;nlp;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/38e8e1c9-bf91-449c-b64a-c3f481099801,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=38e8e1c9-bf91-449c-b64a-c3f481099801; public_ats_api; requires_manual_review,include,strong_ai_title:research engineer,strong_ai_title,"twelvelabs|staff ml research engineer, marengo|seoul, south korea",JOB-019
,2026-05-12,2025-12-15,auto,yes,LOG-208,technical_role=engineer;research ai_evidence=llm;rag;retrieval;pytorch locations=Seoul;Korea,ashby,TwelveLabs,,"ML Research Engineer, Video Cognition System",ai_researcher,,,,FullTime,,python;pytorch;cloud;llm;rag;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/7ccdb7ae-1d16-4f87-939b-a50a8873465d,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=7ccdb7ae-1d16-4f87-939b-a50a8873465d; public_ats_api; requires_manual_review,include,strong_ai_title:research engineer,strong_ai_title,"twelvelabs|ml research engineer, video cognition system|seoul, south korea",JOB-020
,2026-05-12,2026-03-27,auto,yes,LOG-208,technical_role=architect;solutions architect ai_evidence=ai model;llm;rag locations=Seoul;Korea,ashby,TwelveLabs,,"Solutions Architect, APAC",applied_ai_developer,,,,FullTime,,python;cloud;llm;rag;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/169be654-ac7f-452c-aa49-55919da29341,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=169be654-ac7f-452c-aa49-55919da29341; public_ats_api; requires_manual_review,hold,borderline_technical_ai_role:ai;llm;rag;model;python,borderline_ai_role,"twelvelabs|solutions architect, apac|seoul, south korea",
,2026-05-12,2026-03-17,auto,yes,LOG-208,technical_role=engineer ai_evidence=ai model;llm locations=Seoul;Korea,ashby,TwelveLabs,,"Senior Engineering Manager, Products",applied_ai_developer,,,,FullTime,,python;cloud;docker_k8s;llm;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/da40982a-1ed8-4360-970f-3a84fad52853,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=da40982a-1ed8-4360-970f-3a84fad52853; public_ats_api; requires_manual_review,hold,borderline_technical_ai_role:ai;llm;model;python,borderline_ai_role,"twelvelabs|senior engineering manager, products|seoul, south korea",
,2026-05-12,2026-03-24,auto,yes,LOG-208,strong_title=machine learning keywords=AI;Machine Learning;ML;Video;Research;Engineer;LLM;Data;Search locations=Seoul;Korea,ashby,TwelveLabs,,"Staff Machine Learning Engineer, Search",mlops_platform_engineer,,,,FullTime,,python;cloud;docker_k8s;llm;rag;recommender;mlops,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/72d19cd1-81f5-4f62-beb5-d23788c6c8b0,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=72d19cd1-81f5-4f62-beb5-d23788c6c8b0; public_ats_api; requires_manual_review,include,strong_ai_title:machine learning,strong_ai_title,"twelvelabs|staff machine learning engineer, search|seoul, south korea",JOB-021
,2026-05-12,2026-05-06,auto,yes,LOG-208,technical_role=engineer ai_evidence=ai model;llm locations=Seoul;Korea,ashby,TwelveLabs,,"Engineering Manager, Products",applied_ai_developer,,,,FullTime,,python;cloud;docker_k8s;llm;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/6985145d-e867-4c77-bbe3-be21cb8d876a,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=6985145d-e867-4c77-bbe3-be21cb8d876a; public_ats_api; requires_manual_review,hold,borderline_technical_ai_role:ai;llm;model;python,borderline_ai_role,"twelvelabs|engineering manager, products|seoul, south korea",
,2026-05-12,2026-04-10,auto,yes,LOG-208,strong_title=machine learning keywords=AI;Machine Learning;ML;Video;Research;Engineer;LLM;Data;Search locations=Seoul;Korea,ashby,TwelveLabs,,"Senior Machine Learning Engineer, Search",mlops_platform_engineer,,,,FullTime,,python;cloud;docker_k8s;llm;rag;recommender;mlops,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/2ff63d77-f7b0-4f5e-8b17-d77c0d9dfc33,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=2ff63d77-f7b0-4f5e-8b17-d77c0d9dfc33; public_ats_api; requires_manual_review,include,strong_ai_title:machine learning,strong_ai_title,"twelvelabs|senior machine learning engineer, search|seoul, south korea",JOB-022
,2026-05-12,2026-04-10,auto,yes,LOG-208,technical_role=engineer;research ai_evidence=model training;llm;rag;retrieval;pytorch locations=Seoul;Korea,ashby,TwelveLabs,,"Senior ML Research Engineer, Marengo",ai_researcher,,,,FullTime,,python;pytorch;llm;rag;nlp;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/f2be6b28-03df-44cd-843c-c7eb7e369aab,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=f2be6b28-03df-44cd-843c-c7eb7e369aab; public_ats_api; requires_manual_review,include,strong_ai_title:research engineer,strong_ai_title,"twelvelabs|senior ml research engineer, marengo|seoul, south korea",JOB-023
,2026-05-12,2026-04-10,auto,yes,LOG-208,strong_title=research scientist keywords=AI;Machine Learning;ML;Video;Research;Engineer;LLM;Data;Search locations=Seoul;Korea,ashby,TwelveLabs,,"Senior ML Research Scientist, Pegasus",ai_researcher,,,,FullTime,,python;pytorch;cloud;llm;rag;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/e028fb09-db2e-4ff6-bb60-a83d4a091747,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=e028fb09-db2e-4ff6-bb60-a83d4a091747; public_ats_api; requires_manual_review,include,strong_ai_title:research scientist,strong_ai_title,"twelvelabs|senior ml research scientist, pegasus|seoul, south korea",JOB-024
,2026-05-12,2026-04-10,auto,yes,LOG-208,strong_title=research scientist keywords=AI;Machine Learning;ML;Video;Research;Engineer;LLM;Data;Search locations=Seoul;Korea,ashby,TwelveLabs,,"Staff ML Research Scientist, Pegasus",ai_researcher,,,,FullTime,,python;pytorch;cloud;llm;rag;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/d6db4d6b-0827-48e1-b99e-2434de8f00d2,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=d6db4d6b-0827-48e1-b99e-2434de8f00d2; public_ats_api; requires_manual_review,include,strong_ai_title:research scientist,strong_ai_title,"twelvelabs|staff ml research scientist, pegasus|seoul, south korea",JOB-025
,2026-05-12,2026-04-13,auto,yes,LOG-208,strong_title=machine learning keywords=AI;Machine Learning;ML;Video;Research;Engineer;LLM;Data;TrainingOps;Search locations=Seoul;Korea,ashby,TwelveLabs,,"Staff Machine Learning Engineer, Pegasus - TrainingOps",ml_engineer,,,,FullTime,,cloud;llm;rag;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/e9d7966e-d29c-44ae-b507-a649af9e349b,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=e9d7966e-d29c-44ae-b507-a649af9e349b; public_ats_api; requires_manual_review,include,strong_ai_title:machine learning,strong_ai_title,"twelvelabs|staff machine learning engineer, pegasus - trainingops|seoul, south korea",JOB-026
,2026-05-12,2026-04-13,auto,yes,LOG-208,strong_title=machine learning keywords=AI;Machine Learning;ML;VLM;Video;Research;Engineer;LLM;Data;Search locations=Seoul;Korea,ashby,TwelveLabs,,"Machine Learning Engineer, Pegasus",ai_deep_learning_engineer,,,,FullTime,,cloud;docker_k8s;llm;nlp;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/7b5305b9-62cf-4b71-8993-f92d82047a7f,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=7b5305b9-62cf-4b71-8993-f92d82047a7f; public_ats_api; requires_manual_review,include,strong_ai_title:machine learning,strong_ai_title,"twelvelabs|machine learning engineer, pegasus|seoul, south korea",JOB-027
