candidate_id,sample_id,source_log_id,reviewed_at,reviewer,include_decision,exclude_reason,duplicate_of,company,job_title,normalized_role,experience_level,required_skills,skill_tags,domain_requirement,url,raw_file,review_notes
CAND-ATS-025,,LOG-208,,,hold,,,TwelveLabs,"Senior Engineering Manager, Products",applied_ai_developer,,,python;cloud;docker_k8s;llm;cv,,https://jobs.ashbyhq.com/twelve-labs/da40982a-1ed8-4360-970f-3a84fad52853,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=da40982a-1ed8-4360-970f-3a84fad52853; public_ats_api; requires_manual_review
CAND-ATS-026,,LOG-208,,,hold,,,TwelveLabs,"Staff Machine Learning Engineer, Search",ml_engineer,,,python;cloud;docker_k8s;llm;rag;recommender;mlops,,https://jobs.ashbyhq.com/twelve-labs/72d19cd1-81f5-4f62-beb5-d23788c6c8b0,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=72d19cd1-81f5-4f62-beb5-d23788c6c8b0; public_ats_api; requires_manual_review
CAND-ATS-027,,LOG-208,,,hold,,,TwelveLabs,"Engineering Manager, Products",applied_ai_developer,,,python;cloud;docker_k8s;llm;cv,,https://jobs.ashbyhq.com/twelve-labs/6985145d-e867-4c77-bbe3-be21cb8d876a,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=6985145d-e867-4c77-bbe3-be21cb8d876a; public_ats_api; requires_manual_review
CAND-ATS-028,,LOG-208,,,hold,,,TwelveLabs,"Senior Machine Learning Engineer, Search",ml_engineer,,,python;cloud;docker_k8s;llm;rag;recommender;mlops,,https://jobs.ashbyhq.com/twelve-labs/2ff63d77-f7b0-4f5e-8b17-d77c0d9dfc33,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=2ff63d77-f7b0-4f5e-8b17-d77c0d9dfc33; public_ats_api; requires_manual_review
CAND-ATS-029,,LOG-208,,,hold,,,TwelveLabs,"Senior ML Research Engineer, Marengo",ai_researcher,,,python;pytorch;llm;rag;nlp;cv,,https://jobs.ashbyhq.com/twelve-labs/f2be6b28-03df-44cd-843c-c7eb7e369aab,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=f2be6b28-03df-44cd-843c-c7eb7e369aab; public_ats_api; requires_manual_review
CAND-ATS-030,,LOG-208,,,hold,,,TwelveLabs,"Senior ML Research Scientist, Pegasus",ai_researcher,,,python;pytorch;cloud;llm;rag;cv,,https://jobs.ashbyhq.com/twelve-labs/e028fb09-db2e-4ff6-bb60-a83d4a091747,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=e028fb09-db2e-4ff6-bb60-a83d4a091747; public_ats_api; requires_manual_review
CAND-ATS-031,,LOG-208,,,hold,,,TwelveLabs,"Staff ML Research Scientist, Pegasus",ai_researcher,,,python;pytorch;cloud;llm;rag;cv,,https://jobs.ashbyhq.com/twelve-labs/d6db4d6b-0827-48e1-b99e-2434de8f00d2,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=d6db4d6b-0827-48e1-b99e-2434de8f00d2; public_ats_api; requires_manual_review
CAND-ATS-032,,LOG-208,,,hold,,,TwelveLabs,"Staff Machine Learning Engineer, Pegasus - TrainingOps",ml_engineer,,,cloud;llm;rag;cv,,https://jobs.ashbyhq.com/twelve-labs/e9d7966e-d29c-44ae-b507-a649af9e349b,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=e9d7966e-d29c-44ae-b507-a649af9e349b; public_ats_api; requires_manual_review
CAND-ATS-033,,LOG-208,,,hold,,,TwelveLabs,"Machine Learning Engineer, Pegasus",ml_engineer,,,cloud;docker_k8s;llm;nlp;cv,,https://jobs.ashbyhq.com/twelve-labs/7b5305b9-62cf-4b71-8993-f92d82047a7f,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=7b5305b9-62cf-4b71-8993-f92d82047a7f; public_ats_api; requires_manual_review
CAND-ATS-034,,LOG-208,,,hold,,,TwelveLabs,"Senior Machine Learning Engineer, Pegasus",ml_engineer,,,cloud;docker_k8s;llm;cv;mlops,,https://jobs.ashbyhq.com/twelve-labs/e3dfecdc-7ad3-4dd0-845c-926c7c67ad38,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=e3dfecdc-7ad3-4dd0-845c-926c7c67ad38; public_ats_api; requires_manual_review
CAND-ATS-035,,LOG-208,,,hold,,,TwelveLabs,"Staff Machine Learning Engineer, Pegasus",ml_engineer,,,cloud;docker_k8s;llm;rag;cv,,https://jobs.ashbyhq.com/twelve-labs/26ef6d4c-4c20-4cca-8826-08a6c9921957,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=26ef6d4c-4c20-4cca-8826-08a6c9921957; public_ats_api; requires_manual_review
CAND-ATS-036,,LOG-208,,,hold,,,TwelveLabs,"ML Research Scientist, Pegasus",ai_researcher,,,python;pytorch;cloud;llm;rag;cv,,https://jobs.ashbyhq.com/twelve-labs/085694a9-f782-498b-b893-0ccb9e58e8eb,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=085694a9-f782-498b-b893-0ccb9e58e8eb; public_ats_api; requires_manual_review
CAND-ATS-037,,LOG-209,,,hold,,,CLO Virtual Fashion,"Machine Learning Engineer (전문연구요원, alternative military service), R&D",ai_researcher,,,,,https://jobs.lever.co/clovirtualfashion/dd5c876e-e91d-495d-b0eb-0aea8f0594dd,01_research/raw/public_ats/ATS-009_lever_clovirtualfashion_2026-05-12.json,target_id=ATS-009; provider=lever; raw_id=dd5c876e-e91d-495d-b0eb-0aea8f0594dd; public_ats_api; requires_manual_review
CAND-ATS-038,,LOG-209,,,hold,,,CLO Virtual Fashion,"Machine Learning Engineer, R&D",ml_engineer,,,,,https://jobs.lever.co/clovirtualfashion/c03ac899-637b-40d4-8ab3-24b659f60d3f,01_research/raw/public_ats/ATS-009_lever_clovirtualfashion_2026-05-12.json,target_id=ATS-009; provider=lever; raw_id=c03ac899-637b-40d4-8ab3-24b659f60d3f; public_ats_api; requires_manual_review
CAND-ATS-039,,LOG-210,,,hold,,,Fieldguide,Senior AI Engineer (Korea),applied_ai_developer,,,python;llm;rag,,https://jobs.ashbyhq.com/fieldguide/b2f091ee-6319-42d3-b4fe-6a416f742639,01_research/raw/public_ats/ATS-010_ashby_fieldguide_2026-05-12.json,target_id=ATS-010; provider=ashby; raw_id=b2f091ee-6319-42d3-b4fe-6a416f742639; public_ats_api; requires_manual_review
